iter	MultiClass
0	1.067095994
1	1.038962768
2	1.013979567
3	0.9922085247
4	0.9722403815
5	0.9532585814
6	0.9360817682
7	0.9203641713
8	0.9060726585
9	0.8928251484
10	0.8803491425
11	0.8694797645
12	0.8588175419
13	0.8492953352
14	0.8400224051
15	0.8318935314
16	0.8241660105
17	0.8171348776
18	0.8100103474
19	0.8035454129
20	0.7974035047
21	0.7916249788
22	0.7864615992
23	0.7814727129
24	0.7768155305
25	0.7724824568
26	0.7687730948
27	0.7647560764
28	0.7614109819
29	0.7579007945
30	0.7548702267
31	0.7518699823
32	0.7487391241
33	0.7458700095
34	0.7432774729
35	0.7410444665
36	0.7386686188
37	0.7367060698
38	0.7346985115
39	0.7327151025
40	0.7306020163
41	0.729011241
42	0.7272358737
43	0.725296686
44	0.7236623962
45	0.7225512753
46	0.7210440988
47	0.7199152917
48	0.7186179032
49	0.7174246919
50	0.7162345125
51	0.7153032064
52	0.714423041
53	0.7135289347
54	0.7125341751
55	0.7114435157
56	0.7105853384
57	0.7096942554
58	0.7088143368
59	0.7077913512
60	0.7071061019
61	0.7063582354
62	0.705732261
63	0.7049595254
64	0.704246097
65	0.7036206685
66	0.7030268948
67	0.7023359651
68	0.70181492
69	0.7010711534
70	0.7005702766
71	0.7000774465
72	0.6995818874
73	0.6991031671
74	0.6987060038
75	0.698151655
76	0.697538574
77	0.6971983514
78	0.6964825766
79	0.6960113117
80	0.6953992091
81	0.6949823325
82	0.6944791742
83	0.6942313
84	0.6939024836
85	0.693454354
86	0.6930332928
87	0.692617862
88	0.692243727
89	0.6919135752
90	0.6915274937
91	0.6910458329
92	0.6907847843
93	0.6905297574
94	0.6900786979
95	0.6898146077
96	0.6895461476
97	0.6892148807
98	0.6889055469
99	0.6884735206
100	0.6881283977
101	0.6877472079
102	0.6874939163
103	0.68727405
104	0.6868722037
105	0.6866410335
106	0.6863099847
107	0.6861116176
108	0.6858207559
109	0.6856728043
110	0.6855076757
111	0.6853059048
112	0.6850048889
113	0.6847473496
114	0.6845504391
115	0.6843510116
116	0.6842255629
117	0.6839660512
118	0.6837573093
119	0.6834244516
120	0.6831618315
121	0.6829527376
122	0.6827789355
123	0.6825603514
124	0.6822940489
125	0.6821318587
126	0.6819796977
127	0.681722944
128	0.6815760595
129	0.6812968292
130	0.6811272384
131	0.6809921052
132	0.6807375857
133	0.6804668387
134	0.680347597
135	0.6802094496
136	0.6798776174
137	0.679691869
138	0.6795633791
139	0.6793532531
140	0.6792256263
141	0.6790956047
142	0.6789162145
143	0.6788292754
144	0.6786759628
145	0.6786099385
146	0.6784611646
147	0.6782162318
148	0.6780978327
149	0.677841861
150	0.6775759186
151	0.6774534549
152	0.6772863065
153	0.6770607697
154	0.6768230629
155	0.6765808963
156	0.6762529521
157	0.676030553
158	0.6758132649
159	0.6756682809
160	0.6754921753
161	0.6753816945
162	0.67523498
163	0.6751129489
164	0.6749419041
165	0.6748453083
166	0.6746203537
167	0.6744716594
168	0.6742987245
169	0.6741549615
170	0.6739554561
171	0.6737839454
172	0.6736926811
173	0.673485886
174	0.6733016492
175	0.6732107108
176	0.6730554953
177	0.6728970434
178	0.6726200268
179	0.6724269179
180	0.6722691855
181	0.672141954
182	0.6720274249
183	0.6719250263
184	0.6717910662
185	0.6716170087
186	0.6713776597
187	0.6712197726
188	0.671063681
189	0.6709325085
190	0.670782666
191	0.670599418
192	0.670440629
193	0.6703440876
194	0.6701947721
195	0.6700694793
196	0.6699121726
197	0.6697271629
198	0.6695244684
199	0.6693898235
200	0.6692271599
201	0.6690153882
202	0.6689641017
203	0.6687923333
204	0.6686887836
205	0.6685946124
206	0.6684767944
207	0.668408708
208	0.6682081909
209	0.6681210439
210	0.667967296
211	0.667819115
212	0.6676680868
213	0.6675050531
214	0.6672078239
215	0.6670852372
216	0.6669225154
217	0.6666575055
218	0.6664879764
219	0.6662947165
220	0.666124887
221	0.6660215436
222	0.6657846317
223	0.6656496662
224	0.6654943765
225	0.6653603294
226	0.6651707795
227	0.6649928826
228	0.6648403087
229	0.6646751943
230	0.6645894771
231	0.6643802486
232	0.6642214168
233	0.6640088319
234	0.663829619
235	0.6636915711
236	0.6635419339
237	0.6634578454
238	0.6633055729
239	0.6631795028
240	0.6630565258
241	0.6628811769
242	0.6627756638
243	0.6625580295
244	0.6623952196
245	0.6622836017
246	0.6621427207
247	0.6620160444
248	0.661863838
249	0.6617776907
250	0.6615826387
251	0.6613376323
252	0.6611596825
253	0.6610440397
254	0.6609240334
255	0.6607479035
256	0.6605559874
257	0.6603940284
258	0.6602207702
259	0.6599976961
260	0.6597658143
261	0.6595818889
262	0.6594635304
263	0.6593014128
264	0.6590754206
265	0.6588509568
266	0.6586925291
267	0.6585744938
268	0.6584903934
269	0.6584089943
270	0.6582394406
271	0.6581440584
272	0.6580462011
273	0.6579600791
274	0.657832787
275	0.6576429296
276	0.6574707081
277	0.6573569185
278	0.6572408787
279	0.6570615299
280	0.6569053205
281	0.6567303717
282	0.6565567992
283	0.656386818
284	0.6562980888
285	0.6561338107
286	0.6560220621
287	0.6558403103
288	0.655702594
289	0.6555458902
290	0.6553490867
291	0.6551954238
292	0.655001136
293	0.6548451711
294	0.6546502407
295	0.6545672873
296	0.6543253583
297	0.6541215348
298	0.6540397824
299	0.6538727414
300	0.6536870131
301	0.6535643014
302	0.65340514
303	0.6532796237
304	0.653191881
305	0.6530756246
306	0.6529503639
307	0.6527801279
308	0.6525489621
309	0.6525080741
310	0.6524311607
311	0.6523491309
312	0.6521677397
313	0.6519810422
314	0.6518492299
315	0.6517148512
316	0.6516159079
317	0.6514541805
318	0.6513224683
319	0.6512138195
320	0.6511373668
321	0.6510466785
322	0.650886114
323	0.6507429737
324	0.6505585537
325	0.6503860681
326	0.6502043214
327	0.6499957419
328	0.6498638828
329	0.6496969642
330	0.6496321763
331	0.6495526388
332	0.6494366633
333	0.649259403
334	0.6492001447
335	0.6490732695
336	0.6488972491
337	0.6486808841
338	0.6485932397
339	0.6484791355
340	0.6483783421
341	0.648298558
342	0.6481553015
343	0.6479995597
344	0.6478836584
345	0.6477858764
346	0.6476740669
347	0.6475239399
348	0.6474117595
349	0.647296704
350	0.6471675892
351	0.6470817463
352	0.6470208271
353	0.6468321449
354	0.646719708
355	0.6465797613
356	0.6464741567
357	0.6463766006
358	0.646254613
359	0.6461035929
360	0.6460155163
361	0.6458524585
362	0.6457331998
363	0.6455866164
364	0.6454523491
365	0.6453412534
366	0.6452240512
367	0.6451319963
368	0.6450583408
369	0.6448841793
370	0.6448232543
371	0.6446847784
372	0.644514179
373	0.6443855545
374	0.6442400445
375	0.6441245
376	0.6439782864
377	0.6438721199
378	0.6437419252
379	0.6436320789
380	0.6434836836
381	0.6433681404
382	0.6432742159
383	0.6431676576
384	0.6430629587
385	0.6429683991
386	0.6428426358
387	0.6427419105
388	0.6426146259
389	0.6424443058
390	0.6422689019
391	0.6421670385
392	0.642035118
393	0.6418966311
394	0.6417819525
395	0.6416446758
396	0.6415400115
397	0.641403809
398	0.6413499036
399	0.6412014798
400	0.6411118858
401	0.6409993888
402	0.6409272222
403	0.6408072734
404	0.6407479108
405	0.640639573
406	0.6405985013
407	0.6404925785
408	0.6403910395
409	0.64032024
410	0.6400924912
411	0.6400078419
412	0.6399133313
413	0.6398315807
414	0.6396549546
415	0.639537668
416	0.6394342096
417	0.6393040161
418	0.6391804805
419	0.6390919935
420	0.6389158504
421	0.6388134888
422	0.6385683653
423	0.6384342085
424	0.6383539077
425	0.6382548857
426	0.6381640875
427	0.63796981
428	0.6378416899
429	0.6377107616
430	0.6376188988
431	0.6375021575
432	0.6373645042
433	0.6372897784
434	0.6371158559
435	0.6370338343
436	0.636940067
437	0.6368263547
438	0.6367282206
439	0.636517189
440	0.6363879907
441	0.6362335849
442	0.6361082025
443	0.6360308348
444	0.635859894
445	0.6357534709
446	0.6356486561
447	0.6355678136
448	0.6354721449
449	0.6353744285
450	0.6352443874
451	0.6351526091
452	0.6349907487
453	0.6349119162
454	0.6347874456
455	0.6346946377
456	0.634534327
