iter	MultiClass
457	0.6344367107
458	0.6343334457
459	0.6341931118
460	0.6341143753
461	0.6339904764
462	0.6338305984
463	0.6337232021
464	0.6336014432
465	0.6335177556
466	0.6334255177
467	0.6333515447
468	0.6332436479
469	0.633125469
470	0.6330399402
471	0.6328741784
472	0.6327994442
473	0.6327466624
474	0.632651377
475	0.6324944676
476	0.6324431384
477	0.632309374
478	0.6322195443
479	0.6320759024
480	0.6319135592
481	0.6318032388
482	0.6316846982
483	0.6316131107
484	0.6314841545
485	0.6313683655
486	0.6312978022
487	0.6312270542
488	0.6311444889
489	0.6310003874
490	0.6308863225
491	0.630832001
492	0.6307595377
493	0.6306667728
494	0.6305784722
495	0.6304461821
496	0.6303478174
497	0.6302667184
498	0.6300996866
499	0.6299987751
